year,Age dependancy ratio
1960,70.88819641
1961,71.12500398
1962,70.91716787
1963,70.51994507
1964,70.10228902
1965,69.69144486
1966,69.27980617
1967,68.9679748
1968,68.74959702
1969,68.39435665
1970,67.84416952
1971,67.25211747
1972,66.58774896
1973,65.67408423
1974,64.57265646
1975,63.53759228
1976,62.58789965
1977,61.53439556
1978,60.47251268
1979,59.50108839
1980,58.55479765
1981,57.66243529
1982,56.66482176
1983,55.50624713
1984,54.45976177
1985,53.67085624
1986,53.03827866
1987,52.4580745
1988,52.08121621
1989,52.02068351
1990,52.21650601
1991,52.31238005
1992,52.37793629
1993,52.6104452
1994,52.77719044
1995,52.83199261
1996,52.78932636
1997,52.74986518
1998,52.77801695
1999,52.78028975
2000,52.71729664
2001,52.48488807
2002,51.96515558
2003,51.34933616
2004,50.8477366
2005,50.5037483
2006,50.36864501
2007,50.44299796
2008,50.60470984
2009,50.83013364
2010,51.16239073
2011,51.63804718
2012,52.24257411
2013,52.7030093
2014,52.75434706
2015,52.5174781
2016,52.30755263
2017,52.25783494
2018,52.37108575
2019,52.59659518
2020,52.9981293
2021,53.6270313
2022,54.05147237
2023,54.25744618
2024,54.59399167
