Year,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1962,53.68,265.39,258.74,152.31,74.88,23.45,1.96
1963,57.05,255.96,247.5,146.54,73.24,21.99,1.43
1964,56.92,241.8,229.94,135.1,68.79,21.35,1.51
1965,58.74,230.18,214.8,120.11,61.42,19.54,1.39
1966,64.55,219.93,208.45,112,56.53,17.27,1.42
1967,66.66,214.7,209.8,107.03,51.51,16.09,1.62
1968,66.13,217.51,207.81,106.69,49.54,14.64,1.28
1969,64.59,212.51,205.99,106.88,47.83,14.28,1
1970,63.98,209.02,200.04,99.86,45.37,12.43,0.95
1971,67.92,210.77,200.1,102.06,41.32,12.18,0.88
1972,69.07,198.99,188.12,92.44,39.67,10.93,0.83
1973,64.01,184.29,176.56,83.86,33.94,9.24,0.74
1974,60.34,175.14,166.02,75.96,30.27,7.49,0.52
1975,54.71,158.44,157.49,69.85,25.07,6.92,0.59
1976,49.81,152.15,151.9,68.91,22.94,6.1,0.47
1977,46.87,145.57,151.64,69.9,21.98,6.14,0.31
1978,43.33,133.77,143.22,67.33,21.28,5.16,0.36
1979,41.07,132.27,152.87,70.23,21.94,4.82,0.45
1980,38.19,126.99,146.56,68.27,21.22,4.35,0.43
1981,38.01,123.15,146.57,69.91,20.2,4.41,0.25
1982,34.33,113.9,144.27,70.64,21.21,4.21,0.43
1983,32.43,110.23,142.53,72.83,20.75,4.07,0.32
1984,30.39,106,147.02,76.98,21.88,4.19,0.34
1985,30.37,104.1,145.17,79.12,22.42,3.82,0.27
1986,30.21,105.09,143.74,85.75,24.15,4,0.26
1987,31.76,105.65,145.31,91.62,27.06,4.34,0.29
1988,31.84,105.94,148.51,98.32,30.88,4.96,0.34
1989,33.61,103.13,149.91,100.07,31.97,5.19,0.36
1990,34.97,103.05,149.14,106.81,36.72,5.33,0.33
1991,33.86,95.23,140.93,105.02,37.94,5.88,0.26
1992,32.95,90.99,135.94,107.39,39.2,6.24,0.31
1993,32.16,88.8,133.53,107.62,40.3,6.32,0.34
1994,31.35,83.42,127.45,106.02,41.44,6.89,0.39
1995,33.39,83.01,123.36,106.15,43.5,7.19,0.37
1996,33.05,81.17,119.21,105.26,44.6,7.98,0.43
1997,32.83,79.13,116.08,108.02,47.41,8.77,0.37
1998,29.24,75.31,110.59,107.14,48.06,8.5,0.41
1999,28.93,77.42,114.94,112.35,51,9.6,0.44
2000,28.19,77.54,113.46,113.09,52.51,10.1,0.38
2001,27.46,76.09,113.26,111.66,53.72,10.39,0.53
2002,25.55,70.06,105.32,109.87,54.7,11.06,0.48
2003,25.89,68.63,107.73,112.38,58.71,12.13,0.64
2004,27.09,70.4,107.81,117.55,60.2,12.14,0.61
2005,27.16,67.63,104.93,117.05,62.34,11.99,0.62
2006,28.15,70.94,105.22,119.29,63.66,12.33,0.69
2007,31.42,76.52,114.25,126.91,70.25,13.73,0.7
2008,33.11,79.46,113.38,125.32,71.59,13.86,0.73
2009,29.59,78.73,109.73,123.08,69.38,14.44,0.61
2010,28.95,78.88,112.74,126.46,70.67,15.17,0.79
2011,25.79,74.44,109.14,122.7,70.18,14.56,0.79
2012,24.62,73.07,110.7,124.44,69.47,15.13,0.69
2013,21.58,68.51,106.84,118.13,69.8,14.65,0.89
2014,19.04,62.39,102.27,118.64,66.37,14.17,0.72
2015,18.57,64.7,103.78,124.13,70.8,14.6,0.95
2016,16,58.94,97.27,118.61,67.76,14.33,0.77
2017,14.9,57.28,94.55,115.12,65.33,14.7,0.88
2018,13.35,53.21,89.12,109.33,63.72,13.93,0.89
2019,12.75,52.44,89.31,110.76,64.84,14.76,0.88
2020,12.14,48.94,84.46,104.59,60.74,13.46,0.94
2021,10.25,47.22,87.67,109.11,62.71,13.54,0.62
2022,10.94,48.9,88.54,108.33,63.49,14.15,0.73
2023,10.68,46.28,82.83,101.45,59.28,13.48,0.87
2024,10.11,44.61,82.16,103.8,60.87,13.48,0.81
2025,9.09,42.08,81.63,102.7,61.72,13.73,1.02
