Year,Infant MR
1960,22.6
1961,21.8
1962,20.9
1963,20.1
1964,19.4
1965,18.8
1966,18.3
1967,17.9
1968,17.6
1969,17.3
1970,16.9
1971,16.6
1972,16.2
1973,15.8
1974,15.4
1975,15
1976,14.5
1977,14
1978,13.6
1979,13.2
1980,12.8
1981,12.5
1982,12.2
1983,11.9
1984,11.6
1985,11.3
1986,11
1987,10.6
1988,10.1
1989,9.6
1990,9.1
1991,8.6
1992,8.2
1993,7.8
1994,7.4
1995,7.1
1996,6.9
1997,6.6
1998,6.4
1999,6.2
2000,6
2001,5.9
2002,5.8
2003,5.7
2004,5.5
2005,5.5
2006,5.4
2007,5.3
2008,5.3
2009,5.2
2010,5.2
2011,5.1
2012,5
2013,4.9
2014,4.8
2015,4.7
2016,4.6
2017,4.5
2018,4.4
2019,4.3
2020,4.2
2021,4.2
2022,4.1
2023,4
