Year,Population growth rate
1961,1.999440499
1962,2.542112124
1963,1.986582544
1964,2.094972265
1965,1.649506117
1966,1.791047632
1967,1.785232597
1968,0.877166547
1969,0.894787618
1970,1.357592266
1971,1.493750959
1972,1.768358888
1973,1.95737
1974,2.085288594
1975,1.945433727
1976,0.884790066
1977,0.311361736
1978,0.032044093
1979,-0.391641218
1980,0.125363651
1981,0.384751509
1982,0.993480548
1983,1.359494772
1984,0.865186525
1985,0.617838918
1986,-0.024640404
1987,0.861875993
1988,0.274482468
1989,0.480054396
1990,0.923222729
1991,
1992,1.041735384
1993,1.140231107
1994,1.329237335
1995,1.464363787
1996,1.582661927
1997,1.312358286
1998,0.887279889
1999,0.525484536
2000,0.587564086
2001,0.589286035
2002,1.737174864
2003,1.973558544
2004,1.486219082
2005,1.12877351
2006,1.21898486
2007,0.932407688
2008,0.848701402
2009,0.999728031
2010,1.111726056
2011,0.762479795
2012,0.548220797
2013,0.768347998
2014,1.661012001
2015,2.036033909
2016,2.2460321
2017,2.088722723
2018,1.791240168
2019,1.412255386
2020,2.033387792
2021,0.240228529
2022,-0.057051239
2023,2.301277431
2024,1.668691879
